#,"Country,other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
52,Venezuela,"79,117",,658 ,,"69,832",,"8,627",215,"2,784",23,"1,965,367","69,168","28,414,349 "
53,Bahrain,"73,116",,261 ,,"67,933",,"4,922",61,"42,598",152,"1,488,703","867,330","1,716,420 "
54,Nigeria,"59,465",,"1,113 ",,"50,951",,"7,401",7,287,5,"535,733","2,583","207,446,404 "
55,Uzbekistan,"59,197",+251,487 ,+2,"55,751",+118,"2,959",252,"1,762",14,"1,377,915","41,015","33,595,577 "
56,Singapore,"57,819",,27 ,,"57,597",,195,,"9,863",5,"2,885,545","492,207","5,862,465 "
57,Moldova,"56,901",,"1,375 ",,"41,467",,"14,059",744,"14,114",341,"293,824","72,883","4,031,452 "
58,Switzerland,"55,932",,"2,078 ",,"45,800",,"8,054",32,"6,450",240,"1,417,260","163,442","8,671,313 "
59,Armenia,"53,083",+406,990 ,+6,"44,932",+222,"7,161",,"17,905",334,"309,945","104,545","2,964,716 "
60,Algeria,"52,270",,"1,768 ",,"36,672",,"13,830",23,"1,186",40,,,"44,056,057 "
61,Austria,"48,896",,818 ,,"39,058",,"9,020",101,"5,421",91,"1,698,268","188,278","9,019,985 "
62,Kyrgyzstan,"47,799",+164,"1,066 ",,"43,644",+123,"3,089",24,"7,295",163,"276,522","42,203","6,552,140 "
63,Ghana,"46,829",,303 ,,"46,060",,466,4,"1,499",10,"488,427","15,635","31,240,028 "
64,Lebanon,"45,657",,414 ,,"20,243",,"25,000",167,"6,697",61,"896,623","131,523","6,817,233 "
65,Paraguay,"44,715",,947 ,,"27,887",,"15,881",152,"6,249",132,"290,507","40,599","7,155,451 "
66,Palestine,"41,957",,339 ,,"35,182",,"6,436",,"8,176",66,"437,500","85,252","5,131,832 "
67,Azerbaijan,"40,788",,598 ,,"38,587",,"1,603",,"4,013",59,"1,140,194","112,188","10,163,210 "
68,Kenya,"39,449",,735 ,,"27,035",,"11,679",,730,14,"564,078","10,431","54,075,779 "
69,Afghanistan,"39,422",,"1,466 ",,"32,879",,"5,077",93,"1,007",37,"112,278","2,868","39,153,520 "
70,Ireland,"38,549",,"1,810 ",,"23,364",,"13,375",20,"7,784",365,"1,245,263","251,455","4,952,238 "
71,Libya,"37,437",,596 ,,"22,076",,"14,765",,"5,429",86,"222,054","32,202","6,895,673 "
72,Serbia,"33,952",,756 ,,"31,536",,"1,660",20,"3,890",87,"1,159,806","132,885","8,727,922 "
73,Hungary,"32,298",+818,853 ,+20,"8,723",+558,"22,722",37,"3,346",88,"771,297","79,896","9,653,780 "
74,Denmark,"30,057",,659 ,,"23,122",,"6,276",30,"5,184",114,"4,084,612","704,533","5,797,614 "
75,El Salvador,"29,539",,869 ,+4,"24,406",,"4,264",36,"4,548",134,"408,212","62,851","6,494,868 "
76,Bosnia and Herzegovina,"28,449",,888 ,,"22,032",,"5,529",,"8,686",271,"248,975","76,015","3,275,322 "
77,Australia,"27,173",+24,895 ,+1,"24,892",,"1,386",4,"1,062",35,"7,812,955","305,464","25,577,350 "
78,S. Korea,"24,239",+75,422 ,,"22,083",+197,"1,734",105,473,8,"2,365,433","46,127","51,280,942 "
79,Tunisia,"22,230",,321 ,,"5,032",,"16,877",116,"1,876",27,"250,479","21,136","11,851,061 "
80,Bulgaria,"21,870",,854 ,,"15,179",,"5,837",59,"3,154",123,"546,789","78,852","6,934,328 "
81,Cameroon,"20,924",,420 ,,"19,764",,740,30,783,16,"149,000","5,577","26,714,844 "
82,Greece,"20,142",,417 ,,"9,989",,"9,736",83,"1,935",40,"1,355,126","130,183","10,409,368 "
83,Ivory Coast,"19,885",,120 ,,"19,490",,275,,749,5,"166,699","6,280","26,545,355 "
84,North Macedonia,"18,873",,760 ,,"15,487",,"2,626",3,"9,059",365,"195,541","93,859","2,083,351 "
85,Myanmar,"18,781",,444 ,,"5,548",,"12,789",,345,8,"332,875","6,107","54,506,087 "
86,Croatia,"17,797",,300 ,,"16,031",,"1,466",24,"4,342",73,"328,392","80,126","4,098,448 "
87,Jordan,"17,464",,110 ,,"5,292",,"12,062",48,"1,707",11,"1,311,436","128,198","10,229,730 "
88,Madagascar,"16,570",,233 ,,"15,601",,736,14,594,8,"73,053","2,621","27,872,790 "
89,Senegal,"15,122",,312 ,,"12,870",,"1,940",6,897,19,"183,115","10,863","16,856,459 "
90,Zambia,"15,089",,334 ,,"14,306",,449,,815,18,"164,951","8,909","18,514,858 "
91,Norway,"14,605",,275 ,,"11,190",,"3,140",3,"2,688",51,"1,095,488","201,658","5,432,411 "
92,Albania,"14,410",,400 ,,"8,825",,"5,185",23,"5,009",139,"88,622","30,804","2,876,957 "
93,Sudan,"13,653",,836 ,,"6,764",,"6,053",,310,19,,,"44,111,819 "
94,Slovakia,"13,492",,55 ,,"4,865",,"8,572",37,"2,471",10,"496,284","90,889","5,460,347 "
95,Malaysia,"12,813",,137 ,,"10,340",,"2,336",32,395,4,"1,627,612","50,120","32,474,352 "
96,Montenegro,"12,359",,182 ,,"8,308",,"3,869",17,"19,677",290,"72,393","115,260","628,087 "
97,Namibia,"11,654",,125 ,,"9,451",,"2,078",8,"4,565",49,"103,854","40,682","2,552,818 "
98,Guinea,"10,800",,67 ,,"10,161",,572,24,817,5,"33,676","2,547","13,223,514 "
99,DRC,"10,778",,274 ,,"10,239",,265,,119,3,,,"90,250,563 "
100,Finland,"10,702",,346 ,,"8,100",,"2,256",8,"1,931",62,"1,084,319","195,619","5,543,011 "
